Galerida theklae;PC
Galium aparine;MED
Galium mollugo;MED
Galium mollugo;MEDPLR
Galium odoratum;MED
Galium odoratum;MEDPLR
Galium verum;MED
Genista germanica;MED
Genista germanica;MEDPLR
Genista tinctoria;MED
Genista tinctoria;MEDPLR
Gentiana acaulis;MED
Gentiana acaulis;SYM
Gentiana asclepiadea;MED
Gentiana asclepiadea;MEDPLR
Gentiana clusii;SYM
Gentiana lutea;MED
Gentiana pannonica;MED
Gentiana punctata;MED
Gentiana purpurea;MED
Gentiana purpurea;MEDPLR
Geranium robertianum;MED
Geranium sanguineum;MED
Geranium sanguineum;MEDPLR
Geum rivale;MED
Geum rivale;MEDPLR
Geum urbanum;MED
Glareola pratincola;PC
Glechoma hederacea;MED
Glis glis;PC
Globularia vulgaris;MED
Glycine max;MED
Glycyrrhiza glabra;MED
Gnaphalium sylvaticum;MED
Gratiola officinalis;MED
Gratiola officinalis;MEDPLR
Halictus brunnescens;POL_2
Halictus maculatus;POL_2
Halictus quadricinctus;POL_2
Halictus rubicundus;POL_2
Halictus sajoi;POL_2
Halictus scabiosae;POL_2
Halictus sexcinctus;POL_2
Halictus subauratus;POL_2
Halictus tumulorum;POL_2
Halictus vestitus;POL_2
Harpalus affinis;RM
Harpalus dimidiatus;RM
Harpalus distinguendus;RM
Harpalus rubripes;RM
Harpalus rufipes;RM
Harpalus signaticornis;RM
Hedera helix;MED
Hedera helix;MEDPLR
Helianthemum nummularium;MED
Helianthus annuus;MED
Helianthus tuberosus;MED
Heliotropium europaeum;MED
Heliotropium europaeum;MEDPLR
Helleborus niger;MED
Helophilus pendulus;POL_2
Helophilus trivittatus;POL_2
Hemidactylus turcicus;PC
Hepatica nobilis;MED
Hepatica nobilis;MEDPLR
Heracleum sphondylium;MED
Herniaria glabra;MED
Herniaria glabra;MEDPLR
Herniaria hirsuta;MED
Herniaria hirsuta;MEDPLR
Hesperis matronalis;MED
Hieracium pilosella;MED
Hippophaë rhamnoides;MED
Hirundo daurica;PC
Hordeum vulgare;MED
Hottonia palustris;MED
Hottonia palustris;MEDPLR
Humulus lupulus;MED
Humulus lupulus;MEDPLR
Hydrocotyle vulgaris ;MED
Hylaeus communis;POL_2
Hylaeus cornutus;POL_2
Hylaeus gredleri;POL_2
Hylaeus punctulatissimus;POL_2
Hylaeus signatus;POL_2
Hylaeus soror;POL_2
Hyoscyamus niger;MED
Hyoscyamus niger;MEDPLR
Hypericum perforatum;MED
Hyssopus officinalis;MED
Iberis amara;MED
Ilex aquifolium;MED
Ilex aquifolium;MEDPLR
Impatiens glandulifera;MED
Impatiens noli-tangere;MED
Impatiens noli-tangere;MEDPLR
Inula helenium;MED
Iris germanica;MED
Isatis tinctoria;MED
Juglans regia;MED
Juglans regia;MEDPLR
Juniperus communis;MED
Juniperus sabina;MED
Juniperus sabina;MEDPLR
Knautia arvensis;MED
Lacerta agilis;PC
Lacerta lepida;PC
Lacerta vivipara;PC
Lactuca virosa;MED
Lactuca virosa;MEDPLR
Lamium album;MED
Lamium album;MEDPLR
Lamium galeobdolon;MED
Lanius collurio;PC
Lanius excubitor;PC
Lanius minor;PC
Lanius nubicus;PC
Lanius senator;PC
Larix decidua;MED
Larix decidua;MEDPLR
Larix decidua;SYM
Lasioglossum bimaculatum;POL_2
Lasioglossum calceatum;POL_2
Lasioglossum calceatum;POL
Lasioglossum discum;POL_2
Lasioglossum fulvicorne;POL_2
Lasioglossum glabriusculum;POL_2
Lasioglossum interruptum;POL_2
Lasioglossum laevigatum;POL_2
Lasioglossum laterale;POL_2
Lasioglossum laticeps;POL_2
Lasioglossum leucozonium;POL_2
Lasioglossum malachurum;POL_2
Lasioglossum malachurum;POL
Lasioglossum marginatum;POL_2
Lasioglossum morio;POL_2
Lasioglossum morio;POL
Lasioglossum pallens;POL_2
Lasioglossum parvulum;POL_2
Lasioglossum pauperatum;POL_2
Lasioglossum pauxillum;POL_2
Lasioglossum politum;POL
Lasioglossum puncticolle;POL_2
Lasioglossum pygmaeum;POL_2
Lasioglossum sexnotatum;POL_2
Lasioglossum sexstrigatum;POL_2
Lasioglossum subhirtum;POL_2
Lasioglossum tricinctum;POL_2
Lasioglossum villosulum;POL_2
Lasioglossum xanthopus;POL_2
Lathyrus sativus;MED
Laurus nobilis;MED
Laurus nobilis;MEDPLR
Lavandula angustifolia;MED
Lemna minor;MED
Leontopodium alpinum;MED
Leontopodium alpinum;MEDPLR
Leontopodium alpinum;SYM
Leonurus cardiaca;MED
Lepidium sativum;MED
Leucanthemum vulgare;MED
Leucanthemum vulgare;MEDPLR
Levisticum officinale Koch;MED
Ligusticum mutellina;MED
Ligusticum mutellina;MEDPLR
Ligustrum vulgare ;MED
Linaria alpina;MED
Linaria vulgaris;MED
Linum catharticum;MED
Linum usitatissimum;MED
Lithospermum officinale ;MED
Lolium temulentum;MED
Lonicera caprifolium;MED
Loricara pilicornis;RM
Lotus corniculatus;MED
Lotus corniculatus;MEDPLR
Lullula arborea;PC
Lycium barbarum;MED
Lycopodium clavatum;MED
Lycopus europaeus;MED
Lynx lynx;SYM
Lysimachia nummularia;MED
Lysimachia nummularia;MEDPLR
Lysimachia vulgaris;MED
Lysimachia vulgaris;MEDPLR
Lythrum salicaria;MED
Lythrum salicaria;MEDPLR
Mahonia aquifolium;MED
Malpolon monspessulanus;PC
Malus sylvestris;MED
Malus sylvestris;MEDPLR
Malva alcea;MED
Malva alcea;MEDPLR
Malva parviflora;MED
Malva sylvestris;MED
Marmota marmota;SYM
Marrubium vulgare;MED
Martes martes;PC
Matricaria chamomilla;MED
Matricaria chamomilla;MEDPLR
Matricaria discoidea;MED
Medicago sativa;MED
Megachile pilidens;POL_2
Megachile rotundata;POL_2
Megascolia maculata;POL_2
Melangyna cincta;POL_2
Melanocorypha calandra;PC
Melanostoma mellinum;POL_2
Melanostoma scalare;POL_2
Melanostoma spec;POL_2
Meles meles;PC
Meligethies anaeus;RM
Melilotus officinalis;MED
Melissa officinalis;MED
Melissa officinalis;MEDPLR
Melittis melissophyllum;MED
Melittis melissophyllum;MEDPLR
Mentha pulegium;MED
Mentha spicata;MED
Menyanthes trifoliata;MED
Menyanthes trifoliata;MEDPLR
Mercurialis annua;MED
Mercurialis annua;MEDPLR
Mercurialis perennis;MED
Merops apiaster;PC
Mespilus germanica;MED
Mespilus germanica;MEDPLR
Meum athamanticum;MED
Meum athamanticum;MEDPLR
Milesia crabroniformis;POL_2
Miliaria calandra;PC
Milvus migrans;PC
Milvus milvus;PC
Mimulus guttatus;MED
Monotropa hipopitys;MED
Morus nigra;MED
Muscari comosum;MED
Mustela nivalis;PC
Mustela putorius;PC
Myathropa florea;POL_2
Myosotis arvensis;MED
Myosotis arvensis;MEDPLR
Myosotis scorpioides;MED
Myosotis scorpioides;MEDPLR
Narcissus pseudonarcissus;MED
Narcissus pseudonarcissus;MEDPLR
Nasturtium officinale;MED
Nebria brevicollis;RM
Nebria salina;RM
Nepeta cataria;MED
Nepeta cataria;MEDPLR
Nicotiana tabacum;MED
Nigella damascena;MED
Nomada fabriciana;POL_2
Nomada flava;POL_2
Nomada flavoguttata;POL_2
Nomada fucata;POL_2
Nomada goodeniana;POL_2
Nomada marshamella;POL_2
Nomada melathoracica;POL_2
Nomada meridionalis;POL_2
Nomada ruficornis;POL_2
Nomiapis bispinosa;POL_2
Nomiapis diversipes;POL_2
Notiophilus aestuans;RM
Notiophilus palustris;RM
Nuphar lutea;MED
Nymphaea alba;MED
Ocimum basilicum;MED
Oenanthe aquatica;MED
Oenanthe oenanthe;PC
Oenanthe pimpinelloides;MED
Oenothera biennis;MED
Olea europaea;MED
Ononis spinosa;MED
Ononis spinosa;MEDPLR
Onopordum acanthium;MED
Onopordum acanthium;MEDPLR
Origanum majorana;MED
Origanum vulgare;MED
Ornithogalum umbellatum;MED
Osmia aurulenta;POL_2
Osmia bicornis;POL_2
Osmia bicornis;POL
Osmia caerulescens;POL_2
Osmia cornuta;POL_2
Osmia ligurica;POL_2
Osmia rufa;POL_2
Osmia spinulosa;POL_2
Osmunda regalis ;MED
Otus scops;PC
Oxalis acetosella;MED
Oxalis acetosella;MEDPLR
Paeonia officinalis;MED
Papaver rhoeas;MED
Papaver somniferum;MED
Parasyrphus annulatus;POL_2
Parasyrphus nigritarsis;POL_2
Parhelophilus frutetorum;POL_2
Parietaria officinalis;MED
Paris quadrifolia;MED
Paris quadrifolia;MEDPLR
Parophonus maculicornis;RM
Parus major;PC
Pastinaca sativa;MED
Pelobates cultripes;PC
Pelobates fuscus;PC
Pelobates syriacus;PC
Pelodytes punctatus;PC
Petasites albus;MED
Petasites albus;MEDPLR
Petasites hybridus;MED
Petasites hybridus;MEDPLR
Petroselinum crispum;MED
Peucedanum ostruthium;MED
Peucedanum ostruthium;MEDPLR
Phaseolus vulgaris;MED
Phragmites australis;MED
Phragmites australis;MEDPLR
Phyllitis scolopendrium;MED
Phyllitis scolopendrium;MEDPLR
Phyllodactylus europaeus;PC
Physalis alkekengi;MED
Phytolacca americana;MED
Pica pica;PC
Picea abies;MED
Picea abies;MEDPLR
Pimpinella major;MED
Pimpinella saxifraga;MED
Pimpinella saxifraga;MEDPLR
Pinguicula vulgaris;MED
Pinguicula vulgaris;MEDPLR
Pinus brutia;SYM
Pinus cembra;SYM
Pinus halepensis;SYM
Pinus mugo;MED
Pinus mugo;SYM
Pinus nigra;SYM
Pinus pinaster;SYM
Pinus pinea;SYM
Pinus sylvestris;MED
Pinus sylvestris;SYM
Pisum sativum;MED
Plantago alpina;MED
Plantago arenaria;MED
Plantago arenaria;MEDPLR
Plantago lanceolata;MED
Plantago major;MED
Plantago media;MED
Plantago media;MEDPLR
Platanus orientalis;MED
Platycheirus albimanus;POL_2
Platycheirus scutatus;POL_2
Platynus assimilis;RM
Podarcis hispanica;PC
Poecilus cupreus;RM
Poecilus versicolor;RM
Polistes bischoffi;POL_2
Polistes dominula;POL_2
Polygala amara;MED
Polygala vulgaris;MED
Polygala vulgaris;MEDPLR
Polygonatum odoratum;MED
Polygonatum odoratum;MEDPLR
Polygonum amphibium;MED
Polygonum amphibium;MEDPLR
Polygonum aviculare;MED
Polygonum aviculare;MEDPLR
Polygonum bistorta;MED
Polygonum bistorta;MEDPLR
Polygonum hydropiper;MED
Polypodium vulgare;MED
Populus alba;MED
Populus alba;MEDPLR
Populus nigra;MED
Populus nigra;MEDPLR
Populus tremula;MED
Populus tremula;MEDPLR
Portulaca oleracea;MED
Potentilla anserina;MED
Potentilla anserina;MEDPLR
Potentilla erecta;MED
Potentilla recta;MED
Potentilla reptans;MED
Potentilla reptans;MEDPLR
Primula elatior;MED
Primula veris;MED
Prunella vulgaris;MED
Prunus armeniaca;MED
Prunus avium;MED
Prunus avium;MEDPLR
Prunus cerasifera;MED
Prunus cerasus;MED
Prunus domestica;MED
Prunus laurocerasus;MED
Prunus padus;MED
Prunus spinosa;MED
Prunus spinosa;MEDPLR
Psammodromus algirus;PC
Pteridium aquilinum;MED
Pterostichus anthracinus;RM
Pterostichus melanarius;RM
Pterostichus nigrita;RM
Pterostichus vernalis;RM
Pulmonaria angustifolia;MED
Pulmonaria officinalis;MED
Pulmonaria officinalis;MEDPLR
